step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,nameOrig_outDegree,nameDest_inDegree,HourOfDay,DayOfWeek,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,account_age_steps,txn_amount_vs_historical_avg,orig_community_id,dest_community_id,is_cross_community_txn,payee_past_fraud_ratio,is_single_path_transfer,isComplexFraud,avg_txn_amount_last_5,txn_count_orig,is_night_txn,is_weekend,orig_balance_change,dest_balance_change,txn_vs_orig_balance,txn_vs_dest_balance,degree_ratio,is_cross_community_txn_num,is_single_path_transfer_num,transaction_type,fraud_type
155,CASH_OUT,42518.7,C1377974640,80479.0,37960.3,C142113813,3734705.05,3777223.76,0,0,1,5,11,6,0,1,0,0,0,0,1.0,12325,12325,0,0.0,0,0,0,1,0,1,0.528320431,0.011384757,0.528320431,0.011384754,0.333333333,0,0,debit,Normal
374,CASH_OUT,292795.11,C1102125372,0.0,0.0,C1242662509,930321.32,1223116.44,0,0,1,2,14,1,0,1,0,0,0,0,1.0,369633,369633,0,0.0,0,0,0,1,0,0,0.0,0.314724723,292795000000.0,0.314724713,0.666666667,0,0,debit,Normal
469,CASH_OUT,277186.22,C1665643438,222.0,0.0,C269342942,82813.44,359999.66,0,0,1,1,13,5,0,1,0,0,0,0,1.0,432056,432056,0,0.0,0,0,0,1,0,1,0.999999995,3.347116362,1248.586571,3.347116362,1.0,0,0,debit,Normal
299,CASH_OUT,269754.76,C612601434,0.0,0.0,C1530743436,761650.52,1031405.28,0,0,1,2,11,5,0,1,0,0,0,0,1.0,289606,289606,0,0.0,0,0,0,1,0,1,0.0,0.354171307,269755000000.0,0.354171307,0.666666667,0,0,debit,Normal
202,CASH_OUT,166581.09,C601744156,0.0,0.0,C1247343157,433694.44,600275.53,0,0,1,3,10,1,0,1,0,0,0,0,1.0,72971,72971,0,0.0,0,0,0,1,0,0,0.0,0.384097822,166581000000.0,0.384097822,0.5,0,0,debit,Normal
249,TRANSFER,3879669.76,C754455797,3879669.76,0.0,C2131616208,0.0,0.0,1,0,1,1,9,3,0,0,0,0,1,0,1.0,230205,230205,0,1.0,0,0,0,1,0,0,1.0,0.0,1.0,3879670000000.0,1.0,0,0,transfer,Fake Transfer Fraud
259,CASH_OUT,90175.99,C2124049049,10060.0,0.0,C444722207,38739.22,128915.2,0,0,1,1,19,3,0,1,0,0,0,0,1.0,253413,253413,0,0.0,0,0,0,1,0,0,1.0,2.327769635,8.963816102,2.327769893,1.0,0,0,debit,Normal
191,TRANSFER,366766.16,C1141397095,130106.0,0.0,C934530338,83276.61,450042.77,0,0,1,3,23,0,0,0,0,0,1,0,1.0,170404,170404,0,0.0,0,0,0,1,0,0,1.0,4.404191765,2.818979601,4.404191765,0.5,0,0,transfer,Normal
259,PAYMENT,5016.71,C1825046381,50981.87,45965.16,M705705250,0.0,0.0,0,0,1,1,19,3,0,0,0,1,0,0,1.0,252780,252780,0,0.0,0,0,0,1,0,0,0.098401844,0.0,0.098401844,5016710000.0,1.0,0,0,upi,Normal
182,CASH_OUT,315758.01,C1011491493,0.0,0.0,C477020728,364798.19,680556.2,0,0,1,1,14,0,0,1,0,0,0,0,1.0,149948,149948,0,0.0,0,0,0,1,0,0,0.0,0.865569015,315758000000.0,0.865569015,1.0,0,0,debit,Normal
262,CASH_IN,199775.3,C1259909924,725976.38,925751.68,C538099869,867796.34,668021.03,0,0,1,1,22,3,1,0,0,0,0,0,1.0,258158,258158,0,0.0,0,0,0,1,0,0,-0.275181542,-0.230209902,0.275181542,0.23020989,1.0,0,0,credit,Normal
471,PAYMENT,28750.87,C1637402331,159706.0,130955.13,M714203241,0.0,0.0,0,0,1,1,15,5,0,0,0,1,0,0,1.0,432257,432257,0,0.0,0,0,0,1,0,1,0.180023731,0.0,0.180023731,28750870000.0,1.0,0,0,upi,Normal
235,CASH_OUT,56169.82,C1688496648,0.0,0.0,C1818845040,218986.22,275156.05,0,0,1,2,19,2,0,1,0,0,0,0,1.0,223393,223393,0,0.0,0,0,0,1,0,0,0.0,0.256499382,56169820000.0,0.256499336,0.666666667,0,0,debit,Normal
694,CASH_OUT,5175876.53,C731901376,5175876.53,0.0,C1761260133,7229712.73,12405589.26,1,0,1,2,22,0,0,1,0,0,0,0,1.0,240709,240709,0,0.5,0,0,0,1,0,0,1.0,0.715917316,1.0,0.715917316,0.666666667,0,0,debit,Account Takeover Fraud
9,PAYMENT,24375.57,C144219191,40373.0,15997.43,M1119685331,0.0,0.0,0,0,1,1,9,0,0,0,0,1,0,0,1.0,4789,4789,0,0.0,0,0,0,1,0,0,0.603759195,0.0,0.603759195,24375570000.0,1.0,0,0,upi,Normal
691,PAYMENT,28453.97,C522497351,0.0,0.0,M932242569,0.0,0.0,0,0,1,1,19,0,0,0,0,1,0,0,1.0,454322,454322,0,0.0,0,0,0,1,0,0,0.0,0.0,28453970000.0,28453970000.0,1.0,0,0,upi,Normal
187,PAYMENT,2639.55,C1589990752,0.0,0.0,M1947102782,0.0,0.0,0,0,1,1,19,0,0,0,0,1,0,0,1.0,164258,164258,0,0.0,0,0,0,1,0,0,0.0,0.0,2639550000.0,2639550000.0,1.0,0,0,upi,Normal
226,PAYMENT,53304.35,C1718691954,94.0,0.0,M48232616,0.0,0.0,0,0,1,1,10,2,0,0,0,1,0,0,1.0,204408,204408,0,0.0,0,0,0,1,0,0,0.999999989,0.0,567.0675472,53304350000.0,1.0,0,0,upi,Normal
461,CASH_OUT,227955.85,C1180847965,227955.85,0.0,C217315121,2560547.71,2788503.56,1,0,1,2,5,5,0,1,0,0,0,0,1.0,174269,174269,0,0.5,0,0,0,1,1,1,1.0,0.089026207,1.0,0.089026207,0.666666667,0,0,debit,Account Takeover Fraud
34,CASH_OUT,42316.35,C650295011,157047.08,114730.73,C697515693,0.0,42316.35,0,0,1,1,10,1,0,1,0,0,0,0,1.0,46335,46335,0,0.0,0,0,0,1,0,0,0.269450091,42316350000.0,0.269450091,42316350000.0,1.0,0,0,debit,Normal
255,CASH_IN,4088.43,C606465108,2216828.45,2220916.87,C1129533793,123714.5,119626.07,0,0,1,1,15,3,1,0,0,0,0,0,1.0,245343,245343,0,0.0,0,0,0,1,0,0,-0.001844265,-0.033047298,0.00184427,0.033047298,1.0,0,0,credit,Normal
136,CASH_IN,166593.89,C2034633661,234553.0,401146.89,C1340526043,0.0,0.0,0,0,1,1,16,5,1,0,0,0,0,0,1.0,95622,95622,0,0.0,0,0,0,1,0,1,-0.710261178,0.0,0.710261178,166594000000.0,1.0,0,0,credit,Normal
183,CASH_OUT,278318.78,C1701027421,99622.0,0.0,C1369302999,19872.98,298191.77,0,0,1,3,15,0,0,1,0,0,0,0,1.0,152860,152860,0,0.0,0,0,0,1,0,0,1.0,14.00488452,2.793748168,14.00488402,0.5,0,0,debit,Normal
203,CASH_IN,38492.32,C694926311,347.0,38839.32,C254860583,32674.06,339377.17,0,0,1,2,11,1,1,0,0,0,0,0,1.0,177246,177246,0,0.0,0,0,0,1,0,0,-110.9288758,9.386746244,110.9288758,1.178069698,0.666666667,0,0,credit,Normal
491,TRANSFER,449199.47,C542986012,449199.47,0.0,C628613220,0.0,0.0,1,0,1,1,11,6,0,0,0,0,1,0,1.0,433411,433411,0,1.0,0,0,0,1,0,1,1.0,0.0,1.0,449199000000.0,1.0,0,0,transfer,Fake Transfer Fraud
355,CASH_OUT,276127.81,C1360483362,0.0,0.0,C1106565578,1028572.83,1304700.64,0,0,1,1,19,0,0,1,0,0,0,0,1.0,364970,364970,0,0.0,0,0,0,1,0,0,0.0,0.268457227,276128000000.0,0.268457227,1.0,0,0,debit,Normal
308,PAYMENT,1737.29,C204757441,0.0,0.0,M816333490,0.0,0.0,0,0,1,1,20,5,0,0,0,1,0,0,0.999999999,310876,310876,0,0.0,0,0,0,1,0,1,0.0,0.0,1737290000.0,1737290000.0,1.0,0,0,upi,Normal
354,TRANSFER,2857813.23,C1457601356,0.0,0.0,C1790697274,4021573.28,6879386.51,0,0,1,2,18,0,0,0,0,0,1,0,1.0,23002,23002,0,0.0,0,0,0,1,0,0,0.0,0.710620703,2857810000000.0,0.710620703,0.666666667,0,0,transfer,Normal
16,CASH_IN,103735.32,C1652007371,7163911.3,7267646.62,C799858765,969204.62,865469.3,0,0,1,3,16,0,1,0,0,0,0,0,1.0,22462,22462,0,0.0,0,0,0,1,0,0,-0.014480263,-0.107031392,0.014480263,0.107031392,0.5,0,0,credit,Normal
308,TRANSFER,1809361.76,C765704161,1277.0,0.0,C1373446213,2742.16,1812103.92,0,0,1,1,20,5,0,0,0,0,1,0,1.0,309869,309869,0,0.0,0,0,0,1,0,1,0.999999999,659.8308484,1416.884697,659.8308484,1.0,0,0,transfer,Normal
21,PAYMENT,7820.05,C1737818930,0.0,0.0,M493832504,0.0,0.0,0,0,1,1,21,0,0,0,0,1,0,0,1.0,40952,40952,0,0.0,0,0,0,1,0,0,0.0,0.0,7820050000.0,7820050000.0,1.0,0,0,upi,Normal
375,CASH_OUT,116586.34,C335837427,0.0,0.0,C1527118801,173949.85,290536.19,0,0,1,1,15,1,0,1,0,0,0,0,1.0,384822,384822,0,0.0,0,0,0,1,0,0,0.0,0.670229609,116586000000.0,0.670229609,1.0,0,0,debit,Normal
14,TRANSFER,75915.82,C1605767143,16839.0,0.0,C541756540,122042.92,143197.69,0,0,1,1,14,0,0,0,0,0,1,0,1.0,19812,19812,0,0.0,0,0,0,1,0,0,1.0,0.173338773,4.508333036,0.622041983,1.0,0,0,transfer,Normal
401,CASH_OUT,203671.98,C1905955278,2364.0,0.0,C1004675962,62595.44,266267.42,0,0,1,1,17,2,0,1,0,0,0,0,1.0,417278,417278,0,0.0,0,0,0,1,0,0,1.0,3.253783023,86.15565986,3.253783023,1.0,0,0,debit,Normal
280,PAYMENT,800.18,C1810633162,260567.0,259766.82,M317104540,0.0,0.0,0,0,1,1,16,4,0,0,0,1,0,0,0.999999999,272557,272557,0,0.0,0,0,0,1,0,0,0.003070918,0.0,0.003070918,800180000.0,1.0,0,0,upi,Normal
7,PAYMENT,27334.38,C835190949,52047.92,24713.54,M319477133,0.0,0.0,0,0,1,1,7,0,0,0,0,1,0,0,1.0,690,690,0,0.0,0,0,0,1,0,0,0.525177183,0.0,0.525177183,27334380000.0,1.0,0,0,upi,Normal
250,PAYMENT,11761.25,C1373953762,0.0,0.0,M1387963050,0.0,0.0,0,0,1,1,10,3,0,0,0,1,0,0,1.0,233501,233501,0,0.0,0,0,0,1,0,0,0.0,0.0,11761250000.0,11761250000.0,1.0,0,0,upi,Normal
389,CASH_OUT,173668.46,C1332434443,173668.46,0.0,C672297359,383083.73,556752.19,1,0,1,1,5,2,0,1,0,0,0,0,1.0,399179,399179,0,1.0,0,0,0,1,1,0,1.0,0.453343346,1.0,0.453343346,1.0,0,0,debit,Account Takeover Fraud
588,TRANSFER,1064425.7,C875659264,1064425.7,0.0,C656468700,0.0,0.0,1,0,1,1,12,3,0,0,0,0,1,0,1.0,445401,445401,0,1.0,0,0,0,1,0,0,1.0,0.0,1.0,1064430000000.0,1.0,0,0,transfer,Fake Transfer Fraud
275,CASH_IN,248703.01,C872284606,3167918.95,3416621.96,C1399251820,254476.76,5773.74,0,0,1,1,11,4,1,0,0,0,0,0,1.0,262508,262508,0,0.0,0,0,0,1,0,0,-0.078506747,-0.977311327,0.078506747,0.977311288,1.0,0,0,credit,Normal
20,PAYMENT,2216.97,C1432458351,0.0,0.0,M1647152170,0.0,0.0,0,0,1,1,20,0,0,0,0,1,0,0,1.0,39615,39615,0,0.0,0,0,0,1,0,0,0.0,0.0,2216970000.0,2216970000.0,1.0,0,0,upi,Normal
610,TRANSFER,493538.8,C875380581,493538.8,0.0,C2141157779,0.0,0.0,1,0,1,1,10,4,0,0,0,0,1,0,1.0,449106,449106,0,1.0,0,0,0,1,0,0,1.0,0.0,1.0,493539000000.0,1.0,0,0,transfer,Fake Transfer Fraud
8,PAYMENT,6216.29,C1017526396,16902.0,10685.71,M1834604114,0.0,0.0,0,0,1,1,8,0,0,0,0,1,0,0,1.0,2623,2623,0,0.0,0,0,0,1,0,0,0.367784286,0.0,0.367784286,6216290000.0,1.0,0,0,upi,Normal
255,PAYMENT,10400.05,C245552304,163168.45,152768.4,M1469892581,0.0,0.0,0,0,1,1,15,3,0,0,0,1,0,0,1.0,244285,244285,0,0.0,0,0,0,1,0,0,0.063738118,0.0,0.063738118,10400050000.0,1.0,0,0,upi,Normal
586,TRANSFER,2581549.92,C1168747121,2581549.92,0.0,C1191561711,0.0,0.0,1,0,1,1,10,3,0,0,0,0,1,0,1.0,445161,445161,0,1.0,0,0,0,1,0,0,1.0,0.0,1.0,2581550000000.0,1.0,0,0,transfer,Fake Transfer Fraud
204,CASH_OUT,167691.8,C164869385,374.0,0.0,C1707537112,727183.85,894875.65,0,0,1,1,12,1,0,1,0,0,0,0,1.0,179878,179878,0,0.0,0,0,0,1,0,0,0.999999997,0.230604406,448.3737956,0.230604406,1.0,0,0,debit,Normal
134,PAYMENT,43972.48,C1983082222,57.0,0.0,M203917857,0.0,0.0,0,0,1,1,14,5,0,0,0,1,0,0,1.0,91748,91748,0,0.0,0,0,0,1,0,1,0.999999982,0.0,771.447004,43972480000.0,1.0,0,0,upi,Normal
324,PAYMENT,235.04,C963400263,0.0,0.0,M1897451278,0.0,0.0,0,0,1,1,12,6,0,0,0,1,0,0,0.999999996,321454,321454,0,0.0,0,0,0,1,0,1,0.0,0.0,235040000.0,235040000.0,1.0,0,0,upi,Normal
14,CASH_OUT,322054.63,C706042575,316807.26,0.0,C1909414503,1404367.37,1726421.99,0,0,1,3,14,0,0,1,0,0,0,0,1.0,19336,19336,0,0.0,0,0,0,1,0,0,1.0,0.229323628,1.016563288,0.229323635,0.5,0,0,debit,Normal
299,CASH_OUT,362399.13,C1550080353,69986.0,0.0,C947767172,154460.96,516860.1,0,0,1,2,11,5,0,1,0,0,0,0,1.0,236859,236859,0,0.0,0,0,0,1,0,1,1.0,2.346218358,5.178166062,2.346218294,0.666666667,0,0,debit,Normal
228,CASH_OUT,221831.92,C1805972221,107576.0,0.0,C373259728,946528.6,1168360.51,0,0,1,3,12,2,0,1,0,0,0,0,1.0,25042,25042,0,0.0,0,0,0,1,0,0,1.0,0.234363663,2.062094891,0.234363674,0.5,0,0,debit,Normal
719,TRANSFER,119306.06,C1183843461,119306.06,0.0,C1830685403,0.0,0.0,1,0,1,1,23,1,0,0,0,0,1,0,1.0,456548,456548,0,1.0,0,0,0,1,0,0,1.0,0.0,1.0,119306000000.0,1.0,0,0,transfer,Fake Transfer Fraud
181,TRANSFER,1988769.29,C1734535521,6425.0,0.0,C361313022,507502.03,2496271.33,0,0,1,1,13,0,0,0,0,0,1,0,1.0,146827,146827,0,0.0,0,0,0,1,0,0,1.0,3.918741566,309.5360762,3.918741547,1.0,0,0,transfer,Normal
99,CASH_OUT,286670.9,C468670582,286670.9,0.0,C1129467798,1028298.11,1314969.01,1,0,1,3,3,4,0,1,0,0,0,0,1.0,61286,61286,0,0.333333333,0,0,0,1,1,0,1.0,0.278781899,1.0,0.278781899,0.5,0,0,debit,Account Takeover Fraud
395,PAYMENT,13657.5,C476810980,63174.0,49516.5,M580490420,0.0,0.0,0,0,1,1,11,2,0,0,0,1,0,0,1.0,403391,403391,0,0.0,0,0,0,1,0,0,0.216188622,0.0,0.216188622,13657500000.0,1.0,0,0,upi,Normal
229,CASH_OUT,198990.65,C808249417,0.0,0.0,C1819224291,347901.51,546892.15,0,0,1,2,13,2,0,1,0,0,0,0,1.0,211119,211119,0,0.0,0,0,0,1,0,0,0.0,0.571974062,198991000000.0,0.571974091,0.666666667,0,0,debit,Normal
259,CASH_OUT,137650.87,C462907027,0.0,0.0,C1872157136,3213646.75,3351297.61,0,0,1,3,19,3,0,1,0,0,0,0,1.0,57174,57174,0,0.0,0,0,0,1,0,0,0.0,0.042833227,137651000000.0,0.04283323,0.5,0,0,debit,Normal
39,CASH_IN,191565.15,C500601804,780998.41,972563.56,C285261542,382460.72,190895.57,0,0,1,2,15,1,1,0,0,0,0,0,1.0,55811,55811,0,0.0,0,0,0,1,0,0,-0.245282382,-0.500875358,0.245282382,0.500875358,0.666666667,0,0,credit,Normal
307,PAYMENT,54222.17,C16673791,294846.07,240623.9,M122451748,0.0,0.0,0,0,1,1,19,5,0,0,0,1,0,0,1.0,309010,309010,0,0.0,0,0,0,1,0,1,0.183899924,0.0,0.183899924,54222170000.0,1.0,0,0,upi,Normal
127,TRANSFER,6910926.92,C119613068,6910926.92,0.0,C947645496,0.0,0.0,1,0,1,1,7,5,0,0,0,0,1,0,1.0,78282,78282,0,1.0,0,0,0,1,0,1,1.0,0.0,1.0,6910930000000.0,1.0,0,0,transfer,Fake Transfer Fraud
19,PAYMENT,3809.62,C1439391369,202496.0,198686.38,M1172951317,0.0,0.0,0,0,1,1,19,0,0,0,0,1,0,0,1.0,35883,35883,0,0.0,0,0,0,1,0,0,0.01881331,0.0,0.01881331,3809620000.0,1.0,0,0,upi,Normal
236,CASH_OUT,67050.5,C1343549154,67050.5,0.0,C133181668,0.0,67050.5,1,0,1,2,20,2,0,1,0,0,0,0,1.0,224084,224084,0,0.5,0,0,0,1,0,0,1.0,67050500000.0,1.0,67050500000.0,0.666666667,0,0,debit,Account Takeover Fraud
426,TRANSFER,336109.63,C1898939471,0.0,0.0,C574224478,2731025.81,3067135.44,0,0,1,4,18,3,0,0,0,0,1,0,1.0,150320,150320,0,0.0,0,0,0,1,0,0,0.0,0.123070836,336110000000.0,0.123070836,0.4,0,0,transfer,Normal
189,PAYMENT,4660.95,C527422396,31274.0,26613.05,M1701200353,0.0,0.0,0,0,1,1,21,0,0,0,0,1,0,0,1.0,168997,168997,0,0.0,0,0,0,1,0,0,0.14903594,0.0,0.14903594,4660950000.0,1.0,0,0,upi,Normal
226,PAYMENT,36830.93,C1702537593,19694.0,0.0,M656587306,0.0,0.0,0,0,1,1,10,2,0,0,0,1,0,0,1.0,203705,203705,0,0.0,0,0,0,1,0,0,1.0,0.0,1.870159947,36830930000.0,1.0,0,0,upi,Normal
256,PAYMENT,6419.63,C916968811,169227.0,162807.37,M971643771,0.0,0.0,0,0,1,1,16,3,0,0,0,1,0,0,1.0,246456,246456,0,0.0,0,0,0,1,0,0,0.037935022,0.0,0.037935022,6419630000.0,1.0,0,0,upi,Normal
158,PAYMENT,1651.06,C107425702,0.0,0.0,M1218804307,0.0,0.0,0,0,1,1,14,6,0,0,0,1,0,0,0.999999999,119116,119116,0,0.0,0,0,0,1,0,1,0.0,0.0,1651060000.0,1651060000.0,1.0,0,0,upi,Normal
209,CASH_IN,233877.26,C339382815,86399.88,320277.14,C2092417295,1201245.78,967368.52,0,0,1,1,17,1,1,0,0,0,0,0,1.0,190480,190480,0,0.0,0,0,0,1,0,0,-2.706916491,-0.194695593,2.706916491,0.194695593,1.0,0,0,credit,Normal
324,PAYMENT,18686.97,C1346431489,0.0,0.0,M1521613116,0.0,0.0,0,0,1,1,12,6,0,0,0,1,0,0,1.0,322407,322407,0,0.0,0,0,0,1,0,1,0.0,0.0,18686970000.0,18686970000.0,1.0,0,0,upi,Normal
20,CASH_IN,23099.72,C1944463083,184299.52,207399.25,C1008382913,1128841.19,1105741.46,0,0,1,3,20,0,1,0,0,0,0,0,1.0,37274,37274,0,0.0,0,0,0,1,0,0,-0.125337982,-0.020463224,0.125337928,0.020463215,0.5,0,0,credit,Normal
304,PAYMENT,35645.49,C1709173445,47029.0,11383.51,M290749020,0.0,0.0,0,0,1,1,16,5,0,0,0,1,0,0,1.0,299786,299786,0,0.0,0,0,0,1,0,1,0.757947011,0.0,0.757947011,35645490000.0,1.0,0,0,upi,Normal
158,CASH_IN,62480.49,C809570072,104246.0,166726.49,C846435560,390918.49,328438.01,0,0,1,2,14,6,1,0,0,0,0,0,1.0,105335,105335,0,0.0,0,0,0,1,0,1,-0.599356234,-0.159829943,0.599356234,0.159829969,0.666666667,0,0,credit,Normal
178,CASH_OUT,230722.65,C1867321148,0.0,0.0,C481244819,380189.28,610911.92,0,0,1,4,10,0,0,1,0,0,0,0,1.0,141340,141340,0,0.0,0,0,0,1,0,0,0.0,0.606862561,230723000000.0,0.606862587,0.4,0,0,debit,Normal
306,CASH_OUT,42089.09,C374004643,17107.0,0.0,C975506879,0.0,42089.09,0,0,1,1,18,5,0,1,0,0,0,0,1.0,304505,304505,0,0.0,0,0,0,1,0,1,1.0,42089090000.0,2.460343134,42089090000.0,1.0,0,0,debit,Normal
163,CASH_OUT,85949.68,C1772514753,10588.0,0.0,C2066996491,0.0,85949.68,0,0,1,1,19,6,0,1,0,0,0,0,1.0,133025,133025,0,0.0,0,0,0,1,0,1,1.0,85949680000.0,8.117650169,85949680000.0,1.0,0,0,debit,Normal
256,CASH_IN,87225.15,C886935935,3256645.83,3343870.98,C1172960957,334066.52,246841.37,0,0,1,1,16,3,1,0,0,0,0,0,1.0,247159,247159,0,0.0,0,0,0,1,0,0,-0.026783738,-0.261101142,0.026783738,0.261101142,1.0,0,0,credit,Normal
307,TRANSFER,1003597.43,C1086333161,145119.0,0.0,C1199702954,368650.56,1372247.99,0,0,1,2,19,5,0,0,0,0,1,0,1.0,157437,157437,0,0.0,0,0,0,1,0,1,1.0,2.72235428,6.915685954,2.72235428,0.666666667,0,0,transfer,Normal
19,PAYMENT,16171.36,C1137871900,0.0,0.0,M2138227120,0.0,0.0,0,0,1,1,19,0,0,0,0,1,0,0,1.0,36063,36063,0,0.0,0,0,0,1,0,0,0.0,0.0,16171360000.0,16171360000.0,1.0,0,0,upi,Normal
38,CASH_OUT,241451.38,C1387061674,273262.0,31810.62,C534658891,1074069.92,1315521.29,0,0,1,3,14,1,0,1,0,0,0,0,1.0,56370,56370,0,0.0,0,0,0,1,0,0,0.883589303,0.224800421,0.883589303,0.22480043,0.5,0,0,debit,Normal
154,TRANSFER,593200.9,C2034637305,0.0,0.0,C204334930,730655.35,1323856.25,0,0,1,3,10,6,0,0,0,0,1,0,1.0,112082,112082,0,0.0,0,0,0,1,0,1,0.0,0.81187512,593201000000.0,0.81187512,0.5,0,0,transfer,Normal
322,PAYMENT,8128.34,C908099162,0.0,0.0,M260330231,0.0,0.0,0,0,1,1,10,6,0,0,0,1,0,0,1.0,318119,318119,0,0.0,0,0,0,1,0,1,0.0,0.0,8128340000.0,8128340000.0,1.0,0,0,upi,Normal
154,CASH_OUT,108264.82,C710773380,130.0,0.0,C122841130,0.0,108264.82,0,0,1,2,10,6,0,1,0,0,0,0,1.0,64076,64076,0,0.0,0,0,0,1,0,1,0.999999992,108265000000.0,832.8063013,108265000000.0,0.666666667,0,0,debit,Normal
235,PAYMENT,4427.49,C797419818,0.0,0.0,M366817812,0.0,0.0,0,0,1,1,19,2,0,0,0,1,0,0,1.0,222432,222432,0,0.0,0,0,0,1,0,0,0.0,0.0,4427490000.0,4427490000.0,1.0,0,0,upi,Normal
669,CASH_OUT,111033.79,C628538240,111033.79,0.0,C1203444656,470258.81,581292.59,1,0,1,3,21,6,0,1,0,0,0,0,1.0,358783,358783,0,0.333333333,0,0,0,1,0,1,1.0,0.236112068,1.0,0.236112089,0.5,0,0,debit,Account Takeover Fraud
400,CASH_OUT,454019.01,C1581824815,0.0,0.0,C1259203714,865588.44,1319607.45,0,0,1,3,16,2,0,1,0,0,0,0,1.0,248758,248758,0,0.0,0,0,0,1,0,0,0.0,0.524520649,454019000000.0,0.524520649,0.5,0,0,debit,Normal
332,PAYMENT,15012.09,C1623824244,0.0,0.0,M616409052,0.0,0.0,0,0,1,1,20,6,0,0,0,1,0,0,1.0,339696,339696,0,0.0,0,0,0,1,0,1,0.0,0.0,15012090000.0,15012090000.0,1.0,0,0,upi,Normal
45,TRANSFER,1868268.26,C817141579,0.0,0.0,C1913782359,2303716.89,4171985.15,0,0,1,3,21,1,0,0,0,0,1,0,1.0,16541,16541,0,0.0,0,0,0,1,0,0,0.0,0.810979972,1868270000000.0,0.810979972,0.5,0,0,transfer,Normal
